Nomor Identitias,Nama Stasiun,Merek Mesin,Jenis Pengisian,Status Instalasi,Harga Pengisian (Rp),Harga Layanan (Rp),Daya,Jumlah Nozzle,Arus Maksimal,Peralatan Catu Daya Listrik,Sistem Kontrol Arus Mesin,Sistem Kontrol Tegangan Mesin,Sistem Kontrol Komunikasi Mesin,Sistem Keamanan Mesin,GPS,Panjang Mesin (Cm),Lebar Mesin (Cm),Tinggi Mesin (Cm),Berat Mesin (Kg),Panjang Nozzle (Cm),Lebar Nozzle (Cm),Tinggi Nozzle (Cm),Diameter Nozzle (Cm)
01.POSO.00.3374.001,SPKLU PLN Semarang,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.3671.001,SPKLU Tangcity Mall,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.3603.001,SPKLU AEON Mall BSD,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.3603.002,SPKLU Supermal Karawaci,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.1801.001,SPKLU Rest Area KM 20B,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.7171.001,SPKLU Kawasan Mega Mas Manado,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.PPOO.01.3175.001,SPKLU Wisma Indomobil 3,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.PPOO.01.3175.002,SPKLU Wisma Indomobil 3,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.3372.001,SPKLU PT PLN (Persero) Surakarta,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.1871.001,SPKLU El's Coffee Lampung,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.3519.001,SPKLU PLN Rest Area 626 A,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.3519.002,SPKLU PLN Rest Area 626 B,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.3273.001,SPKLU PLN Bandung Utara,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.7471.001,SPKLU Wuawua 1,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.5315.001,SPKLU L-BAJO 1,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.3174.002,SPKLU Kantor DJK ESDM,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.3174.003,SPKLU Kantor DJK ESDM,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.3275.001,SPKLU Rest Area KM.6 Jakarta - Cikampek,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.3174.004,SPKLU PLN Kantor Pusat,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.7371.001,SPKLU PLN UP3 Makassar Selatan,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
07.ROSO.00.3172.004,SPKLU Pantai Indah Selatan,Merek Dummy,Medium Charging,Beroperasi,2000,10000,7700,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.1471.001,SPKLU PLN UP3 Pekanbaru,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.3671.002,SPKLU UID Banten,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.5271.001,SPKLLU PLN UP3 Mataram,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.6372.001,SPKLU PLN UIW Kalselteng,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
02.ROSO.00.3174.005,SPBU Fatmawati 2,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
02.RLSO.00.3674.001,Kantor Puspiptek Serpong BPPT,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
02.RLSO.00.3174.006,SPBU MT Haryono,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
02.RLSO.00.3174.007,SPBU Lenteng Agung,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
02.RLSO.00.3671.003,SPBU Soekarno Hatta,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.PPOO.01.3171.004,SPKLU Graha BNI,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.PPOO.01.3171.005,SPKLU Menara BNI,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.7371.002,PT PLN (Persero) UP3 Makassar Utara ULP Mattoanging,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.3174.010,SPKLU RS. Fatmawati Raya,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.5171.008,SPKLU P.B. Sudirman,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.3374.002,SPKLU Teuku Umar,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.3308.001,SPKLU Kecamatan Borobudur,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.3671.005,SPKLU Aeropolis,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.1218.001,SPKLU Jend. Sudirman,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.1471.002,SPKLU Musyawaeah,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.5371.001,SPKLU W.J Lalamentik,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.PPOO.02.3171.006,SPKLU Gedung BRI,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.6471.003,SPKLU UIW  Kaltimra,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.1208.001,SPKLU ULP Parapat,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.1206.001,SPKLU ULP Brastagi,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.6472.002,SPKLU EVC Merak Square,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.1372.001,SPKLU PLN UP3 Solok,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.1902.001,SPKLU PLN UP3 Belitung,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.6172.001,SPKLU PLN UP3 Singkawang,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.6474.001,SPKLU PLN UP3 Bontang,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.7371.003,SPKLU Kantor Gubernur Sulsel,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.PPOO.03.3172.002,SPKLU KFC Artha Gading,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.PPOO.01.5103.003,SPKLU BNI Crea,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.1472.001,SPKLU PLN UP3 DUMAI,Delta DC City Charger,Fast Charging,Beroperasi,2466.78,0,131000,3,125,Ada,Ada,Ada,Ada,Ada,Ada,80,59,150,350,28,7,10,8
01.POSO.00.1871.013,SPKLU Mall Transmart Carrefour Bandar Lampung,TEISON,Medium Charging,Beroperasi,2466.78,0,22000,1,33,Ada,Ada,Ada,Ada,Ada,Ada,40,32,150,5.4,400,17,18,17
01.POSO.00.1871.014,SPKLU Mall Transmart Carrefour Bandar Lampung,TEISON,Fast Charging,Beroperasi,2466.78,0,25000,1,38,Ada,Ada,Ada,Ada,Ada,Ada,68,85,180,420,400,17,18,17
01.POSO.00.1871.015,SPKLU LAMPUNG CITY MALL,TEISON,Medium Charging,Beroperasi,2466.78,0,22000,1,33,Ada,Ada,Ada,Ada,Ada,Ada,40,32,150,5.4,400,17,18,17
04.ROSO.00.3175.004,SPKLU Suvarna Jakarta Golf Club,IOC Charger,Fast Charging,Beroperasi,2467,0,50,1,32,Type 2,Ada,Ada,IOT OCPP,Ada,Ada,50,60,120,20,80,30,60,10
,SPKLU TAMANSARI TERA RESIDENCE BANDUNG,WEEYU,Medium Charging,Beroperasi,2460,0,7400,1,32,AC,ADA,ADA,OCPP 1.6,Ada,Tidak Ada,50,35,27,10,20.5,5.05,5.8,5.8
01.POSO.00.1871.016,SPKLU MALL BOEMI KEDATON,TEISON,Medium Charging,Beroperasi,2466.78,0,22000,1,33,Ada,Ada,Ada,Ada,Ada,Ada,40,32,150,5.4,400,17,18,17
06.ROSO.00.3276.023,Lotus Residence 22 kW,WEEYU/ INJET,Medium Charging,Beroperasi,2460,0,23000,1,32,AC,ADA,ADA,OCPP 1.6,Ada,Tidak Ada,50,35,27,15,20.5,5.05,5.8,5.8
06.ROSO.00.3214.019,Prime Plaza Purwakarta 7 kW,WEEYU/ INJET,Medium Charging,Beroperasi,2460,0,7700,1,32,AC,ADA,ADA,OCPP 1.6,Ada,Tidak Ada,50,35,27,10,20.5,5.05,5.8,5.8
01.POSO.00.1871.017,SPKLU MALL BOEMI KEDATON,TEISON,Fast Charging,Beroperasi,2466.78,0,25000,1,38,Ada,Ada,Ada,Ada,Ada,Ada,68,85,180,420,400,17,18,17
01.POSO.00.1807.001,SPKLU PLN ULP SRIBAWONO,TEISON,Medium Charging,Beroperasi,2466.78,0,22000,1,33,Ada,Ada,Ada,Ada,Ada,Ada,40,32,150,5.4,400,17,18,17
01.POSO.00.1808.001,SPKLU KANTOR ULP BLAMBANGAN UMPU,TEISON,Medium Charging,Beroperasi,2466.78,0,22000,1,33,Ada,Ada,Ada,Ada,Ada,Ada,40,32,150,5.4,400,17,18,17
01.POSO.00.1803.001,SPKLU KANTOR UP3 KOTABUMI,TEISON,Fast Charging,Beroperasi,2466.78,0,25000,1,38,Ada,Ada,Ada,Ada,Ada,Ada,68,85,180,420,400,17,18,17
01.POSO.00.1806.001,SPKLU Kantor ULP Talang Padang,TEISON,Medium Charging,Beroperasi,2466.78,0,22000,1,33,Ada,Ada,Ada,Ada,Ada,Ada,40,32,150,5.4,400,17,18,17
06.ROSO.00.3174.013,SPKLU Area Parkir Residence 8,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
06.ROSO.00.3671.007,SPKLU Area Parkir Saumata Apartment,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
06.ROSO.00.3674.002,SPKLU Area Parkir Saumata Suite Apartment,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
06.ROSO.00.1471.003,SPKLU Complex SKA Mall,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.1813.001,SPKLU KAPEL KRUI,TEISON,Medium Charging,Beroperasi,2466.78,0,22000,1,33,Ada,Ada,Ada,Ada,Ada,Ada,40,32,150,5.4,400,17,18,17
01.POSO.00.1871.018,SPKLU EMERGENCY CHARGING MOBILE,DELTA,Medium Charging,Beroperasi,2466.78,0,22000,1,33,Ada,Ada,Ada,Ada,Ada,Ada,40,32,150,5.4,400,17,18,17
01.POSO.00.3173.023,SPKLU IT PLN,Delta,Medium Charging,Beroperasi,2466.78,0,2500,1,66,Ada,Ada,Ada,Ada,Ada,Ada,68,85,180,420,400,17,18,17
01.POSO.00.1871.019,SPKLU EMERGENCY CHARGING MOBILE,DELTA,Medium Charging,Beroperasi,2466.78,0,22000,1,33,Ada,Ada,Ada,Ada,Ada,Ada,40,32,150,5.4,400,17,18,17
01.POSO.00.3317.003,SPKLU ULP REMBANG,Chargecore,Medium Charging,Beroperasi,2466.78,0,22000,1,35,Ada,Ada,Ada,Ada,Ada,Ada,39,32,13,10,400,17,18,17
05.ROSO.00.3578.003,SPKLU Utomo Charge+ Konsulat Kehormatan Republik Belarus,Marvel 72,Medium Charging,Beroperasi,2466,0,7.4,2,32,Ada,Ada,Ada,Ada,Ada,Tidak Ada,17,10,64,8.7,20,7,11,7
05.ROSO.00.3578.004,SPKLU Utomo Charge+ Darmo Permai,Marvel 72,Medium Charging,Beroperasi,2466,0,7.4,2,32,Ada,Ada,Ada,Ada,Ada,Tidak Ada,17,10,64,8.7,20,7,11,7
01.POSO.00.8203.002,SPKLU PLN KP MALIFUT,Proteksindo,Slow Charging,Beroperasi,2466.78,2466.78,22000,1,32,Ada,Ada,Ada,Ada,Ada,Ada,300,186,482,12,500,10,17,10
11.ROSO.00.3329.001,Astra Otopower,Altro,Fast Charging,Beroperasi,2466,0,77400,2,40,"KWh Meter,RCCB,MCCB,MCB",ada,ada,ada,Ada,Ada,15.9,44.7,46.5,4,24,62.74,55.81,5.4
01.POSO.00.1971.001,SPKLU PLN ULP PANGKALPINANG,SINO,Medium Charging,Beroperasi,2466.78,0,22000,1,32,Ada,Ada,Ada,Ada,Ada,Ada,740,450,260,200,400,17,18,17
01.POSO.00.1971.002,SPKLU PLN UP3 BANGKA,TEISON,Ultra Fast Charging,Beroperasi,2466.78,0,100000,2,160,Ada,Ada,Ada,Ada,Ada,Ada,740,450,260,200,400,17,18,17
04.ROSO.00.3175.003,SPKLU Suvarna Jakarta Golf Club,IOC Charger,Fast Charging,Beroperasi,2467,0,50,1,32,Ada,Ada,Ada,IOT OCPP,Ada,Ada,50,60,120,20,80,30,60,10
,SPKLU Sequis Tower,IOC Charger,Medium Charging,Beroperasi,2467,0,63,2,22,Type 2,Ada,Ada,IOT OCPP,Ada,Ada,120,30,20,5,5,5,5,5
,Menara BTPN Charging Station,Wallbox,Medium Charging,Beroperasi,2862,4000,22000,1,32,LVMDP gedung,"MCCB, MCB",Power Supply Mesin,OCPP 1.6 WLAN,Ada,Ada,198,99,201,1,500,7,6,7
05.ROSO.00.3174.062,SPKLU Utomo Charge+ Pearl Garden Resort Apartment,Aurora 11,Medium Charging,Beroperasi,2466,0,13200,1,20,Ada,Ada,Ada,Ada,Ada,Ada,40.9,28.2,14.8,5.6,20,7,11,7
01.POSO.00.1905.003,SPKLU PLN ULP MENTOK,TEISON,Ultra Fast Charging,Beroperasi,2466.78,0,100000,2,160,Ada,Ada,Ada,Ada,Ada,Ada,740,450,260,200,400,17,18,17
01.POSO.00.1905.004,SPKLU PLN JAGA JEBUS,SINO,Medium Charging,Beroperasi,2466.78,0,22000,1,32,Ada,Ada,Ada,Ada,Ada,Ada,740,450,260,200,400,17,18,17
01.POSO.00.1971.003,SPKLU Tsahang,SINO,Medium Charging,Beroperasi,2466.78,0,22000,1,32,Ada,Ada,Ada,Ada,Ada,Ada,740,450,260,200,400,17,18,17
01.POSO.00.1902.006,SPKLU PLN Kantor Jaga Membalong,TEISON,Medium Charging,Beroperasi,2466.78,0,22000,1,32,Ada,Ada,Ada,Ada,Ada,Ada,740,450,260,200,400,17,18,17
06.ROSO.00.3174.124,Cipta Hotel Pancoran 7 kW,WEEYU/ INJET,Medium Charging,Beroperasi,2460,0,7700,1,32,AC,ADA,ADA,OCPP 1.6,Ada,Tidak Ada,50,35,27,10,20.5,5.05,5.8,5.8
01.POSO.00.6472.001,SPKLU EVC Merak Square,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.3174.008,PLN Jl. RS. Fatmawati Raya,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.5171.001,SPKLU P.B. Sudirman,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.3671.004,SPKLU Aeropolis,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.6471.001,SPKLU UIW  Kaltimra,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.PPOO.03.3172.001,SPKLU KFC Artha Gading,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.PPOO.01.5103.001,"SPKLU BNI Crea,  Benoa",Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
03.ROSO.00.3172.002,SPKLU Shell Pluit,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
03.ROSO.00.3174.009,SPKLU Shell Antasari,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
03.ROSO.00.3174.010,SPKLU Shell Soepomo,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.5103.043,SPKLU DEWI SRI III,SINO,Medium Charging,Beroperasi,2466.78,0,22000,1,18,Ada,Ada,Ada,Ada,Ada,Ada,68,85,180,420,400,17,18,17
08.ROSO.00.3175.005,SPKLU Perintis Kemerdekaan,Daeyoung Chaevi,Ultra Fast Charging,Beroperasi,2475,57000,197000,2,200,-,"Fuse, Shunt, RCCB, PCB Board","SMPS, PCB Board","RS-485, RS-232,CAN",Ada,Ada,72,110,180,300,6,6.5,9.5,3.5
08.ROSO.00.3275.002,SPKLU KH. Noer Ali,Daeyoung Chaevi,Ultra Fast Charging,Tidak Beroperasi,2475,57000,197000,2,200,-,"Fuse, Shunt, RCCB, PCB Board","SMPS, PCB Board","RS-485, RS-232,CAN",Ada,Ada,72,110,180,300,6,6.5,9.5,3.5
01.POSO.00.5102.010,SPKLU GEDUNG KESENIAN I KETUT MARIA,SINO,Medium Charging,Beroperasi,2466.78,0,22000,1,18,Ada,Ada,Ada,Ada,Ada,Ada,68,85,180,420,400,17,18,17
01.POSO.00.5103.044,SPKLU GOR DALUNG,SINO,Medium Charging,Beroperasi,2466.78,0,22000,1,18,Ada,Ada,Ada,Ada,Ada,Ada,68,85,180,420,400,17,18,17
11.ROSO.00.3329.002,Astra Otopower,Altro,Ultra Fast Charging,Beroperasi,2466,0,132,3,40,"KWh Meter,RCCB,MCCB,MCB",ada,ada,ada,Ada,Ada,15.9,44.7,46.5,4,24,62.74,55.81,5.4
06.ROSO.00.3174.011,DAYAGREEN Area Parkir Residence 8,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
07.ROSO.00.3671.005,SPKLU K.H. Hasyim Ashari,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
06.ROSO.00.3671.006,Lokasi Area Parkir Saumata Apartment,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
06.ROSO.00.3374.003,Lokasi Area Parkir Avani Ecopark Semarang,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
06.ROSO.00.3374.004,Lokasi Area Parkir Ventura Taman Kuliner Semarang,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
06.ROSO.00.3374.005,Lokasi Area Parkir Grand Edge Hotel Semarang,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
06.ROSO.00.3374.006,Lokasi Area Parkir Radja Art & Boutique Hotel Semarang,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
06.ROSO.00.3308.002,Lokasi Area Parkir Hotel Sunsetfalls Garden and Resort,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
06.ROSO.00.3471.001,Area Parkir Hotel New Saphir,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
